n,p,seed,n_edges,C_star,final_expectation,approximation_ratio,gammas,betas,gate_count,cnot_count,single_qubit_count,depth,n_iterations,wall_time_seconds
3,1,0,3,2,-1.999999999996932,0.999999999998466,[0.6154782792177975],[1.2630564733230907],15,6,9,11,68,1.0079898834228516
3,1,1,3,2,-1.999999999996932,0.999999999998466,[0.6154782792177975],[1.2630564733230907],15,6,9,11,68,0.8980066776275635
3,2,0,3,2,-1.999999999998136,0.999999999999068,"[0.6154782986798641, 2.1991148575578383]","[1.2630561434719265, 1.0763167221433701e-06]",24,12,12,20,118,1.0269544124603271
3,2,1,3,2,-1.999999999998136,0.999999999999068,"[0.6154782986798641, 2.1991148575578383]","[1.2630561434719265, 1.0763167221433701e-06]",24,12,12,20,118,1.0065248012542725
4,1,0,6,4,-3.6975160992513714,0.9243790248128428,[0.4915199057336665],[1.288339888484562],26,12,14,20,59,1.4229779243469238
4,1,1,6,4,-3.6975160992513714,0.9243790248128428,[0.4915199057336665],[1.288339888484562],26,12,14,20,59,1.4531309604644775
4,2,0,6,4,-3.999922862245762,0.9999807155614405,"[0.4611350212525504, 1.4021238553794562]","[1.2939020409863469, 1.4084528644779157]",48,24,24,36,259,1.815674066543579
4,2,1,6,4,-3.999922862245762,0.9999807155614405,"[0.4611350212525504, 1.4021238553794562]","[1.2939020409863469, 1.4084528644779157]",48,24,24,36,259,1.810060977935791
